"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
4.79693288126437e+46,2.68811776858746e+43,0,1.9473302847764e+45,0,0,0.000560068757330853,0,1001,0.0560068757330843,0,0.000560068757330855,0
5.605480740713e+46,2.68811776858746e+43,0,2.23549378050946e+45,0,0,0.00047932183149622,0,1001,0.0479321831496229,0,0.000479321831496221,0
1.59231542832158e+47,2.68811776858746e+43,0,7.31683500692255e+44,0,0,0.000168789675353142,0,1001,0.0168789675353143,0,0.000168789675353142,0
1.25471823528337e+47,2.68811776858746e+43,0,2.02455040311623e+45,0,0,0.000214194861603097,0,1001,0.0214194861603101,0,0.000214194861603098,0
2.0284294160362e+47,2.68811776858746e+43,0,2.22961096573844e+45,0,0,0.000132504565328342,0,1001,0.013250456532834,0,0.000132504565328342,0
3.13340636989285e+45,2.68811776858746e+43,0,2.67339382634808e+45,0,0,0.00850592779333316,0,1001,0.850592779333311,0,0.00850592779333318,0
1.45101800072636e+47,2.68811776858746e+43,0,2.46108687219799e+45,0,0,0.000185223054838548,0,1001,0.018522305483855,0,0.000185223054838549,0
6.64212653606476e+46,2.68811776858746e+43,0,1.61441738952795e+45,0,0,0.000404543679339001,0,1001,0.0404543679338989,0,0.000404543679339002,0
2.21703842016088e+47,2.68811776858746e+43,0,2.51628816486844e+45,0,0,0.000121233437110935,0,1001,0.0121233437110937,0,0.000121233437110935,0
1.27938081858981e+47,2.68811776858746e+43,0,1.38384086261524e+45,0,0,0.000210066701446802,0,1001,0.0210066701446801,0,0.000210066701446802,0
1.24352255481728e+47,2.68811776858746e+43,0,2.99223850181607e+44,0,0,0.000216122883691363,0,1001,0.0216122883691368,0,0.000216122883691363,0
7.47624705677546e+46,2.68811776858746e+43,0,1.73873259755314e+45,0,0,0.000359425199691123,0,1001,0.0359425199691117,0,0.000359425199691123,0
1.26352854748717e+47,2.68811776858746e+43,0,7.33608810999319e+44,0,0,0.000212701644680828,0,1001,0.0212701644680831,0,0.000212701644680828,0
1.61070509889606e+47,2.68811776858746e+43,0,7.5380122744354e+44,0,0,0.000166862898944441,0,1001,0.0166862898944444,0,0.000166862898944441,0
2.55754963310059e+46,2.68811776858746e+43,0,2.49017118940742e+45,0,0,0.00104994849313306,0,1001,0.104994849313304,0,0.00104994849313306,0
1.88293272874448e+47,2.68811776858746e+43,0,7.20252178669575e+44,0,0,0.000142741905778353,0,1001,0.0142741905778356,0,0.000142741905778353,0
1.5656964261069e+47,2.68811776858746e+43,0,6.15202692920736e+44,0,0,0.000171658840410798,0,1001,0.0171658840410798,0,0.000171658840410799,0
1.17093742097328e+47,2.68811776858746e+43,0,2.47371610195331e+45,0,0,0.000229517030683437,0,1001,0.0229517030683439,0,0.000229517030683437,0
1.55928838778838e+47,2.68811776858746e+43,0,7.28309329289999e+44,0,0,0.000172364166529886,0,1001,0.017236416652989,0,0.000172364166529886,0
