"S.c","I.c","R.c","S.m","I.m","R.m","V7","V8","V9"
5.18523304205664e+24,6.05923090291313e+24,1.72120952631162e+25,1.35628465377808e+25,2.19262589072089e+25,3.3870480670717e+23,1.56847441234203e+25,7.17979067808978e+24,2.39650233936508e+25
1.38294361379032e+25,1.34418270994897e+25,8.08143124553224e+24,1.36580813953049e+25,1.74108779641786e+25,2.76457711469117e+24,2.0353515970985e+25,1.69243577999358e+25,1.26572198437992e+25
1.68550902641032e+25,8.0632356489515e+24,1.72913122504217e+25,1.60864133397917e+25,8.27578437848454e+24,9.35541999241733e+24,1.32877144320374e+25,1.85951054752969e+25,2.30779336275388e+25
1.41128654675653e+25,2.90369351919476e+24,1.42673609172281e+25,2.14748067927566e+25,1.9753587186613e+25,1.44941035856079e+25,1.64777209975854e+24,1.82500956445329e+25,1.62947352637283e+25
1.14920590960263e+25,1.20043024034491e+25,1.53202126986804e+25,1.67805647477134e+24,1.63615466940598e+25,7.56336822107292e+24,1.50182559204492e+25,2.57480142318035e+25,2.10284454297058e+25
1.87300557419511e+25,8.1278759990844e+24,2.26773252163451e+25,8.69746282545085e+24,2.54639760861685e+25,7.57730700045386e+24,2.45582246432261e+25,7.86901130846122e+24,2.59640570437899e+25
3.718571167786e+23,2.4434810494722e+25,5.42040889643262e+24,1.83277861724719e+25,1.14127957105764e+25,2.04950667375606e+25,2.46616885405281e+25,1.23371020812122e+25,2.02364960120769e+25
3.52280084515764e+24,1.04695619853997e+25,2.39522917111738e+25,2.22859424247294e+25,3.55508391283304e+24,1.29542758917068e+25,1.75143540803483e+25,9.02433038429738e+24,1.28436408112111e+25
3.39644946720564e+24,1.49840707392082e+25,2.36825740033813e+25,2.40425031213392e+25,1.12691813673106e+25,2.56903614157263e+25,1.06099710931963e+25,4.55771092883517e+24,1.64161234873822e+25
3.1871821651416e+24,1.13427702566114e+25,2.02503118190997e+25,5.22299677277595e+24,1.02846016471356e+25,1.36729768060042e+25,1.12058838655972e+25,2.20166489133535e+25,2.07489009556719e+25
2.32278585456742e+25,1.65666261288576e+25,2.56348999961276e+25,4.01753493997298e+24,2.05323284600044e+25,2.06449901162536e+25,8.17486552256345e+24,5.82623298632686e+24,1.88625870279451e+25
1.95148764522215e+25,3.73325667560102e+24,2.27671770107033e+25,9.47638426797492e+24,1.10514337382726e+25,1.70545703727762e+25,1.17145034208839e+25,4.54807080088069e+24,1.03546988126164e+25
1.18105707937191e+25,1.73250179193834e+25,9.57617068457795e+24,1.32223278312913e+25,5.87998277364094e+23,1.41672576104969e+25,1.15651486930375e+25,2.97942540676188e+24,2.14236833420992e+25
1.16686968535191e+25,1.99821024515966e+25,2.01101505663635e+25,2.50315156997279e+24,1.40728054082912e+25,1.83038218180826e+25,1.91901580878885e+25,2.13003961612191e+25,2.4700018359536e+25
2.45496967648286e+25,1.82352589305049e+24,1.93150310213812e+25,1.05945441858812e+25,1.50304926769564e+25,1.0800281893824e+25,1.47265727539222e+25,5.8582963469128e+24,1.25509801456703e+25
2.09011696604641e+24,2.34975784749698e+25,2.16798714141304e+25,5.43708805168369e+23,6.94131240390161e+24,1.66915036986699e+25,2.5043246790782e+25,5.92783335451499e+24,2.09705443440815e+25
1.33567023492879e+25,6.13758139766593e+24,1.71867974668402e+25,1.17980204456303e+25,8.52707428004382e+24,9.95310579058536e+24,1.33081788627628e+25,5.66690424670897e+24,2.18388268055405e+25
4.66789074168073e+24,2.28272057249332e+25,4.41387160200848e+24,2.51961009749139e+25,2.42029252200304e+25,1.84538420725621e+25,2.36037439688548e+25,2.12423491025227e+24,2.09797087813774e+25
1.47475943258157e+25,2.47308587482378e+25,2.25665387683825e+25,4.48600556916143e+24,8.61471881381667e+24,1.88471968195501e+25,9.64714200341852e+24,1.87835091248762e+25,2.73692183039002e+23
1.67409737523788e+25,1.5609047749421e+24,1.17679707393356e+25,1.42256425128687e+25,1.62299682078469e+25,4.6483353495388e+24,1.96782677469719e+25,2.23925233934705e+24,1.84629506100752e+25
3.4165025261707e+24,4.09330161240434e+24,7.40190967258462e+24,6.35151155886954e+24,2.13443578379279e+25,1.29737715466166e+25,3.04086962451573e+24,1.83857963312884e+24,4.1393770056455e+24
6.89275217544432e+24,2.49926671055197e+25,1.99138822163213e+25,7.08533779884556e+24,2.00085973862732e+25,1.67811551934077e+25,2.27868055871552e+25,2.3298136077648e+25,1.30142627455567e+25
