"S.c","I.c","R.c","S.m","I.m","R.m","V7","V8","V9"
9.25208248680694e+24,1.08115688659822e+25,3.07117778224229e+25,2.42003732340794e+25,3.91233247167844e+25,6.04355635497108e+23,2.79865042202205e+25,1.28109990530622e+25,4.27611201729846e+25
2.46760527166509e+25,2.39844365892855e+25,1.44198086930086e+25,2.43703020975048e+25,3.10664685243187e+25,4.93287289091955e+24,3.63170579090125e+25,3.01983639175325e+25,2.25844510938378e+25
3.00747689026156e+25,1.4387342040286e+25,3.08531257801642e+25,2.87032081160989e+25,1.47665956557273e+25,1.66930043001956e+25,2.37094512414786e+25,3.31795019265101e+25,4.11782737275693e+25
2.51817795597733e+25,5.18110020091614e+24,2.54574479111326e+25,3.83177925125657e+25,3.52465967447408e+25,2.58620279664768e+25,2.94014237407898e+24,3.25638961500489e+25,2.90749197842995e+25
2.05054387791842e+25,2.14194415434091e+25,2.73360657956847e+25,2.9941792000822e+24,2.91941323364595e+25,1.34954217277968e+25,2.6797280171782e+25,4.59425351979239e+25,3.75213438059456e+25
3.34202955395599e+25,1.45026807042486e+25,4.04634626409295e+25,1.55190022963927e+25,4.54357220361046e+25,1.35202928831628e+25,4.38195773045798e+25,1.40407848837249e+25,4.63280233526447e+25
6.63509757389266e+23,4.35993677454844e+25,9.67170999167385e+24,3.2702520425391e+25,2.0364008032597e+25,3.65696288846669e+25,4.40041893566285e+25,2.20132605762806e+25,3.61082575901765e+25
6.28578190018324e+24,1.86809831504191e+25,4.27384028571923e+25,3.97651129539289e+25,6.34338502093739e+24,2.31144922773593e+25,3.12511023786607e+25,1.610223656806e+25,2.291708458471e+25
6.06033140226888e+24,2.67362830836851e+25,4.22571418491705e+25,4.28993683145464e+25,2.01077549887307e+25,4.58396644868843e+25,1.89315170486444e+25,8.13238616713727e+24,2.92915144578781e+25
5.68693288289972e+24,2.02390606539537e+25,3.6132909324276e+25,9.31946482985512e+24,1.83509558801832e+25,2.43968801832623e+25,1.99948123876343e+25,3.92846088453955e+25,3.7022548764042e+25
4.14457868167913e+25,2.95600583867852e+25,4.57407039146593e+25,7.16854273603022e+24,3.66361154874588e+25,3.68371392270406e+25,1.45865247559465e+25,1.03958274854067e+25,3.36567729322158e+25
3.48206619049442e+25,6.66130112705279e+24,4.06237864308627e+25,1.69088425173671e+25,1.97192249055452e+25,3.04307039984829e+25,2.0902349241185e+25,8.11518515451261e+24,1.84760312146685e+25
2.10737635731067e+25,3.09132672679194e+25,1.70868927901293e+25,2.3592781032304e+25,1.04917339686534e+24,2.5278832206965e+25,2.06358535503217e+25,5.31622964735944e+24,3.82265722378633e+25
2.08206159543184e+25,3.56543396685352e+25,3.58828176772369e+25,4.46640770328478e+24,2.51102998461665e+25,3.26597604989317e+25,3.42412624705461e+25,3.80065892288418e+25,4.40725817787799e+25
4.38043608941059e+25,3.25374227975676e+24,3.44640749597195e+25,1.89039906061802e+25,2.68191143843732e+25,1.92710912223134e+25,2.62768258942534e+25,1.04530385797856e+25,2.23948861422743e+25
3.72942439039655e+24,4.19270517886716e+25,3.86836921310954e+25,9.70147083731795e+23,1.2385478995197e+25,2.97828791486072e+25,4.46850089796307e+25,1.05771144168797e+25,3.74180301041455e+25
2.38325473291215e+25,1.09513707291686e+25,3.06666386173031e+25,2.10513698147522e+25,1.52149756761566e+25,1.77594632733974e+25,2.37459662061061e+25,1.01115350284415e+25,3.8967318417729e+25
8.32898151946954e+24,4.07308964895867e+25,7.87573168201511e+24,4.49577487983758e+25,4.3185611667113e+25,3.2927443698101e+25,4.21164843365841e+25,3.79030150652855e+24,3.74343823353989e+25
2.63143349735144e+25,4.41276107076401e+25,4.02657848612316e+25,8.00444130968019e+24,1.53713610207317e+25,3.36293119721385e+25,1.72135278884526e+25,3.3515673144387e+25,4.88352718755866e+23
